Period,Period Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Average_DWT,Maximum_DWT
2018S01,S1   2018,752,Sweden,7,Liquefied petroleum gas carriers,8190.0,55047.0
2018S01,S1   2018,752,Sweden,8,Liquefied natural gas carriers,7448.0,20900.0
2018S01,S1   2018,752,Sweden,5,Dry bulk carriers,9293.0,95746.0
2018S01,S1   2018,752,Sweden,4,Dry breakbulk carriers,4959.0,38330.0
2018S01,S1   2018,752,Sweden,6,Roll-on/ roll-off ships,11297.0,55631.0
2018S01,S1   2018,752,Sweden,3,Container ships,,
2018S01,S1   2018,752,Sweden,1,Passenger ships,,
2018S01,S1   2018,792,Türkiye,0,All ships,14346.0,319360.0
2018S01,S1   2018,792,Türkiye,2,Liquid bulk carriers,27665.0,319360.0
2018S01,S1   2018,792,Türkiye,7,Liquefied petroleum gas carriers,21780.0,58677.0
2018S01,S1   2018,792,Türkiye,8,Liquefied natural gas carriers,94648.0,122079.0
2018S01,S1   2018,792,Türkiye,5,Dry bulk carriers,43041.0,206030.0
2018S01,S1   2018,792,Türkiye,4,Dry breakbulk carriers,5415.0,54204.0
2018S01,S1   2018,792,Türkiye,6,Roll-on/ roll-off ships,8942.0,46705.0
2018S01,S1   2018,792,Türkiye,3,Container ships,,
2018S01,S1   2018,792,Türkiye,1,Passenger ships,,
2018S01,S1   2018,926,United Kingdom,0,All ships,11828.0,320051.0
2018S01,S1   2018,926,United Kingdom,2,Liquid bulk carriers,20747.0,320051.0
2018S01,S1   2018,926,United Kingdom,7,Liquefied petroleum gas carriers,7170.0,54684.0
2018S01,S1   2018,926,United Kingdom,8,Liquefied natural gas carriers,62942.0,154900.0
2018S01,S1   2018,926,United Kingdom,5,Dry bulk carriers,43717.0,187882.0
2018S01,S1   2018,926,United Kingdom,4,Dry breakbulk carriers,4571.0,81279.0
2018S01,S1   2018,926,United Kingdom,6,Roll-on/ roll-off ships,9931.0,55828.0
2018S01,S1   2018,926,United Kingdom,3,Container ships,,
2018S01,S1   2018,926,United Kingdom,1,Passenger ships,,
2018S01,S1   2018,842,United States of America,0,All ships,47104.0,320805.0
2018S01,S1   2018,842,United States of America,2,Liquid bulk carriers,62635.0,320805.0
2018S01,S1   2018,842,United States of America,7,Liquefied petroleum gas carriers,34320.0,59138.0
2018S01,S1   2018,842,United States of America,8,Liquefied natural gas carriers,72291.0,100000.0
2018S01,S1   2018,842,United States of America,5,Dry bulk carriers,53041.0,183123.0
2018S01,S1   2018,842,United States of America,4,Dry breakbulk carriers,15805.0,73296.0
2018S01,S1   2018,842,United States of America,6,Roll-on/ roll-off ships,20615.0,55828.0
2018S01,S1   2018,842,United States of America,3,Container ships,,
2018S01,S1   2018,842,United States of America,1,Passenger ships,,
2018S02,S2   2018,0,World,0,All ships,24342.0,404389.0
2018S02,S2   2018,0,World,2,Liquid bulk carriers,27155.0,323527.0
2018S02,S2   2018,0,World,7,Liquefied petroleum gas carriers,12181.0,64220.0
2018S02,S2   2018,0,World,8,Liquefied natural gas carriers,73747.0,155159.0
2018S02,S2   2018,0,World,5,Dry bulk carriers,56815.0,404389.0
2018S02,S2   2018,0,World,4,Dry breakbulk carriers,7357.0,138743.0
2018S02,S2   2018,0,World,6,Roll-on/ roll-off ships,10272.0,55828.0
2018S02,S2   2018,0,World,3,Container ships,,
2018S02,S2   2018,0,World,1,Passenger ships,,
2018S02,S2   2018,36,Australia,0,All ships,78398.0,299688.0
2018S02,S2   2018,36,Australia,2,Liquid bulk carriers,41643.0,299271.0
2018S02,S2   2018,36,Australia,7,Liquefied petroleum gas carriers,14546.0,58757.0
2018S02,S2   2018,36,Australia,8,Liquefied natural gas carriers,84144.0,109555.0
2018S02,S2   2018,36,Australia,5,Dry bulk carriers,110722.0,299688.0
2018S02,S2   2018,36,Australia,4,Dry breakbulk carriers,25177.0,88272.0
2018S02,S2   2018,36,Australia,6,Roll-on/ roll-off ships,15112.0,43878.0
2018S02,S2   2018,36,Australia,3,Container ships,,
2018S02,S2   2018,36,Australia,1,Passenger ships,,
2018S02,S2   2018,124,Canada,0,All ships,34987.0,209325.0
2018S02,S2   2018,124,Canada,2,Liquid bulk carriers,35021.0,159988.0
2018S02,S2   2018,124,Canada,5,Dry bulk carriers,45599.0,209325.0
2018S02,S2   2018,124,Canada,4,Dry breakbulk carriers,12528.0,61026.0
2018S02,S2   2018,124,Canada,6,Roll-on/ roll-off ships,7639.0,55828.0
2018S02,S2   2018,124,Canada,3,Container ships,,
2018S02,S2   2018,124,Canada,1,Passenger ships,,
2018S02,S2   2018,156,China,0,All ships,44703.0,404389.0
2018S02,S2   2018,156,China,2,Liquid bulk carriers,34299.0,323527.0
2018S02,S2   2018,156,China,7,Liquefied petroleum gas carriers,10689.0,58899.0
2018S02,S2   2018,156,China,8,Liquefied natural gas carriers,82671.0,155159.0
2018S02,S2   2018,156,China,5,Dry bulk carriers,74302.0,404389.0
2018S02,S2   2018,156,China,4,Dry breakbulk carriers,14961.0,138743.0
2018S02,S2   2018,156,China,6,Roll-on/ roll-off ships,9901.0,43878.0
2018S02,S2   2018,156,China,3,Container ships,,
2018S02,S2   2018,156,China,1,Passenger ships,,
2018S02,S2   2018,191,Croatia,0,All ships,16837.0,299999.0
2018S02,S2   2018,191,Croatia,2,Liquid bulk carriers,30894.0,299999.0
2018S02,S2   2018,191,Croatia,5,Dry bulk carriers,16837.0,179302.0
2018S02,S2   2018,191,Croatia,4,Dry breakbulk carriers,6541.0,44993.0
2018S02,S2   2018,191,Croatia,3,Container ships,,
2018S02,S2   2018,191,Croatia,1,Passenger ships,,
2018S02,S2   2018,208,Denmark,0,All ships,7450.0,164565.0
2018S02,S2   2018,208,Denmark,2,Liquid bulk carriers,12683.0,164565.0
2018S02,S2   2018,208,Denmark,7,Liquefied petroleum gas carriers,5833.0,27037.0
2018S02,S2   2018,208,Denmark,5,Dry bulk carriers,14928.0,87144.0
2018S02,S2   2018,208,Denmark,4,Dry breakbulk carriers,4224.0,19638.0
2018S02,S2   2018,208,Denmark,6,Roll-on/ roll-off ships,11887.0,24485.0
2018S02,S2   2018,208,Denmark,3,Container ships,,
2018S02,S2   2018,208,Denmark,1,Passenger ships,,
2018S02,S2   2018,251,France,0,All ships,17960.0,323183.0
2018S02,S2   2018,251,France,2,Liquid bulk carriers,22722.0,323183.0
2018S02,S2   2018,251,France,7,Liquefied petroleum gas carriers,8965.0,55066.0
2018S02,S2   2018,251,France,8,Liquefied natural gas carriers,81577.0,122006.0
2018S02,S2   2018,251,France,5,Dry bulk carriers,48851.0,181408.0
2018S02,S2   2018,251,France,4,Dry breakbulk carriers,6490.0,62942.0
2018S02,S2   2018,251,France,6,Roll-on/ roll-off ships,11373.0,46704.0
2018S02,S2   2018,251,France,3,Container ships,,
2018S02,S2   2018,251,France,1,Passenger ships,,
2018S02,S2   2018,276,Germany,0,All ships,8479.0,207721.0
2018S02,S2   2018,276,Germany,2,Liquid bulk carriers,7381.0,164772.0
2018S02,S2   2018,276,Germany,7,Liquefied petroleum gas carriers,5532.0,29328.0
2018S02,S2   2018,276,Germany,5,Dry bulk carriers,52412.0,207721.0
2018S02,S2   2018,276,Germany,4,Dry breakbulk carriers,4835.0,72924.0
2018S02,S2   2018,276,Germany,6,Roll-on/ roll-off ships,12281.0,55828.0
2018S02,S2   2018,276,Germany,3,Container ships,,
2018S02,S2   2018,276,Germany,1,Passenger ships,,
2018S02,S2   2018,300,Greece,0,All ships,7332.0,319191.0
2018S02,S2   2018,300,Greece,2,Liquid bulk carriers,8226.0,319191.0
2018S02,S2   2018,300,Greece,7,Liquefied petroleum gas carriers,5275.0,17674.0
2018S02,S2   2018,300,Greece,8,Liquefied natural gas carriers,64140.0,93301.0
2018S02,S2   2018,300,Greece,5,Dry bulk carriers,9551.0,81932.0
2018S02,S2   2018,300,Greece,4,Dry breakbulk carriers,3899.0,38165.0
2018S02,S2   2018,300,Greece,6,Roll-on/ roll-off ships,8191.0,31143.0
2018S02,S2   2018,300,Greece,3,Container ships,,
2018S02,S2   2018,300,Greece,1,Passenger ships,,
2018S02,S2   2018,360,Indonesia,0,All ships,17354.0,209956.0
2018S02,S2   2018,360,Indonesia,2,Liquid bulk carriers,12281.0,126646.0
2018S02,S2   2018,360,Indonesia,7,Liquefied petroleum gas carriers,10523.0,58610.0
2018S02,S2   2018,360,Indonesia,8,Liquefied natural gas carriers,70530.0,95978.0
2018S02,S2   2018,360,Indonesia,5,Dry bulk carriers,45847.0,209956.0
2018S02,S2   2018,360,Indonesia,4,Dry breakbulk carriers,6530.0,55770.0
2018S02,S2   2018,360,Indonesia,6,Roll-on/ roll-off ships,4238.0,21423.0
2018S02,S2   2018,360,Indonesia,3,Container ships,,
2018S02,S2   2018,360,Indonesia,1,Passenger ships,,
2018S02,S2   2018,380,Italy,0,All ships,18528.0,319191.0
2018S02,S2   2018,380,Italy,2,Liquid bulk carriers,28412.0,319191.0
2018S02,S2   2018,380,Italy,7,Liquefied petroleum gas carriers,9814.0,27353.0
2018S02,S2   2018,380,Italy,5,Dry bulk carriers,41082.0,313049.0
2018S02,S2   2018,380,Italy,4,Dry breakbulk carriers,8289.0,81279.0
2018S02,S2   2018,380,Italy,6,Roll-on/ roll-off ships,12349.0,46705.0
2018S02,S2   2018,380,Italy,3,Container ships,,
2018S02,S2   2018,380,Italy,1,Passenger ships,,
2018S02,S2   2018,392,Japan,0,All ships,15429.0,400000.0
2018S02,S2   2018,392,Japan,2,Liquid bulk carriers,14305.0,323182.0
2018S02,S2   2018,392,Japan,7,Liquefied petroleum gas carriers,6476.0,58811.0
2018S02,S2   2018,392,Japan,8,Liquefied natural gas carriers,55912.0,122052.0
2018S02,S2   2018,392,Japan,5,Dry bulk carriers,31238.0,400000.0
2018S02,S2   2018,392,Japan,4,Dry breakbulk carriers,8762.0,80500.0
2018S02,S2   2018,392,Japan,6,Roll-on/ roll-off ships,7876.0,43878.0
2018S02,S2   2018,392,Japan,3,Container ships,,
2018S02,S2   2018,392,Japan,1,Passenger ships,,
2018S02,S2   2018,410,"Korea, Republic of",0,All ships,22057.0,327095.0
2018S02,S2   2018,410,"Korea, Republic of",2,Liquid bulk carriers,23748.0,321300.0
2018S02,S2   2018,410,"Korea, Republic of",7,Liquefied petroleum gas carriers,8210.0,56824.0
2018S02,S2   2018,410,"Korea, Republic of",8,Liquefied natural gas carriers,89721.0,155159.0
2018S02,S2   2018,410,"Korea, Republic of",5,Dry bulk carriers,53319.0,327095.0
2018S02,S2   2018,410,"Korea, Republic of",4,Dry breakbulk carriers,8836.0,138743.0
2018S02,S2   2018,410,"Korea, Republic of",6,Roll-on/ roll-off ships,10707.0,43878.0
2018S02,S2   2018,410,"Korea, Republic of",3,Container ships,,
2018S02,S2   2018,410,"Korea, Republic of",1,Passenger ships,,
2018S02,S2   2018,528,Netherlands (Kingdom of the),0,All ships,14104.0,323527.0
2018S02,S2   2018,528,Netherlands (Kingdom of the),2,Liquid bulk carriers,17099.0,323527.0
2018S02,S2   2018,528,Netherlands (Kingdom of the),7,Liquefied petroleum gas carriers,8157.0,55066.0
2018S02,S2   2018,528,Netherlands (Kingdom of the),8,Liquefied natural gas carriers,47251.0,121946.0
2018S02,S2   2018,528,Netherlands (Kingdom of the),5,Dry bulk carriers,65622.0,207810.0
2018S02,S2   2018,528,Netherlands (Kingdom of the),4,Dry breakbulk carriers,5358.0,72927.0
2018S02,S2   2018,528,Netherlands (Kingdom of the),6,Roll-on/ roll-off ships,5717.0,32246.0
2018S02,S2   2018,528,Netherlands (Kingdom of the),3,Container ships,,
2018S02,S2   2018,528,Netherlands (Kingdom of the),1,Passenger ships,,
2018S02,S2   2018,579,Norway,0,All ships,6818.0,319994.0
2018S02,S2   2018,579,Norway,2,Liquid bulk carriers,17724.0,319994.0
2018S02,S2   2018,579,Norway,7,Liquefied petroleum gas carriers,12085.0,58677.0
2018S02,S2   2018,579,Norway,8,Liquefied natural gas carriers,15242.0,87677.0
2018S02,S2   2018,579,Norway,5,Dry bulk carriers,28099.0,207721.0
2018S02,S2   2018,579,Norway,4,Dry breakbulk carriers,3297.0,55807.0
2018S02,S2   2018,579,Norway,6,Roll-on/ roll-off ships,5945.0,19844.0
2018S02,S2   2018,579,Norway,3,Container ships,,
2018S02,S2   2018,579,Norway,1,Passenger ships,,
2018S02,S2   2018,608,Philippines,0,All ships,10748.0,317441.0
2018S02,S2   2018,608,Philippines,2,Liquid bulk carriers,13043.0,317441.0
2018S02,S2   2018,608,Philippines,7,Liquefied petroleum gas carriers,8168.0,58585.0
2018S02,S2   2018,608,Philippines,5,Dry bulk carriers,39117.0,297442.0
2018S02,S2   2018,608,Philippines,4,Dry breakbulk carriers,5595.0,51725.0
2018S02,S2   2018,608,Philippines,6,Roll-on/ roll-off ships,6844.0,22746.0
2018S02,S2   2018,608,Philippines,3,Container ships,,
